Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
1719,48,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,125000.0,41666.66667,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,20833.33333,20833.33333,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
443,321548,57,123,671,176805,421,0,11.7719298246,59.3524634053,2836,0,1437.4390243903,404.5590221452,551942.47826141,559.7920061702,1796.3575418995,5584.6713115422,36469,1,321548,5741.9285714286,9885.2619919429,38573,1,272660,2234.9180327869,6714.9061402647,44390,2,0,0,0,0,1836,3944,177.2674686205,382.5245375496,0,2836,980.5303867403,746.4674700171,557213.683793739,0,0,0,1,0,0,0,0,2,985.9777777778,11.7719298246,1437.4390243903,1836,0,0,0,0,0,0,57,671,123,176805,65535,349,5,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,721,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5547.850208,240.3333333,33.08070938,266,203,721,240.3333333,33.08070938,266,203,0,0.0,0.0,0,0,0,0,0,0,128,0,5547.850208,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,128,0,0,0,0,0,0,4,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
59505,26,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,461538.461538462,76923.0769230769,26.0,0.0,26,26,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,38461.5384615385,38461.5384615385,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,290,252,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
40321,52,2,1,31,6,31,0,15.5,21.92031022,6,6,6.0,0.0,711538.4615,57692.30769,26.0,32.52691193,49,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,20,38461.53846,19230.76923,0,31,17.0,16.35033129,267.3333333,0,1,0,0,1,0,0,0,0,22.66666667,15.5,6.0,64,0,0,0,0,0,0,2,31,1,6,1173,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,32723,4,2,156,266,39,39,39.0,0.0,133,133,133.0,0.0,12896.12811,183.3572716,6544.6,10623.85318,24440,3,24447,8149.0,14108.41986,24440,3,11,11.0,0.0,11,11,0,0,0,0,80,40,122.2381811,61.11909055,39,133,65.85714286,45.86730343,2103.809524,0,0,0,0,0,0,0,0,0,76.83333333,39.0,133.0,80,0,0,0,0,0,0,4,156,2,266,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,116349131,8,7,296,11595,290,0,37.0,102.2489958,5792,0,1656.428571,2118.227235,102.2010212,0.128922321,8310652.214,26800000.0,100000000,1,116000000,16600000.0,37400000.0,100000000,2,66312,11052.0,21999.85245,55072,1,0,0,0,0,260,232,0.068758571,0.06016375,0,5792,743.1875,1578.490892,2491633.496,0,0,0,0,1,0,0,0,0,792.7333333,37.0,1656.428571,260,0,0,0,0,0,0,8,296,7,11595,274,235,2,20,1970.0,0.0,1970,1970,58100000.0,59600000.0,100000000,16000000,DoS Hulk
80,193801,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,60025.49006,41.27945676,27685.85714,72813.22883,192810,4,732,366.0,449.7199128,684,48,193756,48439.0,96247.90306,192810,4,0,0,0,0,72,112,15.47979629,25.79966048,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
8222,20,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,400000.0,100000.0,20.0,0.0,20,20,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,50000.0,50000.0,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,51100,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,39.1389432485,51100.0,0.0,51100,51100,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,19.5694716243,19.5694716243,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,65535,58,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
